rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
138,Fiqih Wanita,Muhammad Athiyah Khumais,2011,22,18,2,,0,non-fiction,2026-04-25
139,This moose belongs to me,Oliver Jeffers,2012,22,17,5,4.3333335,3,non-fiction,2026-04-25
140,"My father, the dog",Elizabeth Bluemle,2006,22,13,9,5.0,3,non-fiction,2026-04-25
141,Dinosaurs,Stephanie Turnbull,2003,22,18,3,4.0,1,non-fiction,2026-04-25
142,Choose Your Own Adventure - Captive!,"Bill Hampton, LuAnn Hampton",1989,22,20,2,,0,non-fiction,2026-04-25
143,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1916,22,12,9,4.0,4,non-fiction,2026-04-25
144,Brazen,Pénélope Bagieu,2018,21,17,4,4.5,2,non-fiction,2026-04-25
145,The Burning Room,Michael Connelly,2014,21,7,14,3.8888888,9,non-fiction,2026-04-25
146,East of the sun & west of the moon,Mercer Mayer,1980,21,15,6,4.0,3,non-fiction,2026-04-25
147,Discovery in the cave,Mark Dubowski,2010,21,18,3,5.0,1,non-fiction,2026-04-25
148,The Son of Tarzan,Edgar Rice Burroughs,1915,21,12,7,5.0,1,non-fiction,2026-04-25
149,Who Was Neil Armstrong?,"Roberta Edwards, Who HQ",2008,20,15,2,5.0,1,non-fiction,2026-04-25
150,Who Was Clara Barton?,"Stephanie Spinner, Who HQ",2014,20,18,2,1.0,1,non-fiction,2026-04-25


1,It,Stephen King,1986,11642,10387,600,4.0879345,489,horror,2026-04-25
2,The Lightning Thief,Rick Riordan,2005,6685,5345,802,4.2908163,392,horror,2026-04-25
3,Twilight,Stephenie Meyer,2005,6138,5097,647,3.6611373,422,horror,2026-04-25
4,The Hobbit,J.R.R. Tolkien,1937,4871,3717,803,4.2860084,486,horror,2026-04-25
5,Fahrenheit 451,Ray Bradbury,1953,4249,3390,687,3.9765809,427,horror,2026-04-25
6,The Shining,Stephen King,1977,3543,2902,430,4.181818,275,horror,2026-04-25
7,Misery,Stephen King,1978,3009,2589,280,4.1678834,137,horror,2026-04-25
8,Coraline,Neil Gaiman,2001,2984,2583,288,4.030457,197,horror,2026-04-25
9,Carrie,Stephen King,1974,2838,2354,343,4.0,161,horror,2026-04-25
10,Pet Sematary,Stephen King,1983,2637,2238,279,4.0526314,171,horror,2026-04-25
11,Frankenstein or The Modern Prometheus,Mary Shelley,1818,2436,1868,413,3.967742,217,horror,2026-04-25
12,Dracula,Bram Stoker,1897,2361,1816,366,4.043716,183,horror,2026-04-25
13,The Picture of Dorian Gray,Oscar Wilde,1890,2059,1600,308,4.1512604,119,horror,2026-04-25
14,American Psycho,"Bret Easton Ellis, Mariano Antolín Rato",1991,1987,1776,121,3.8645833,96,horror,2026-04-25
15,The Invisible Man,H. G. Wells,0,1982,1662,190,3.8018868,106,horror,2026-04-25
16,The Eyes of Darkness,Dean Koontz,1981,1922,1614,162,3.8682635,167,horror,2026-04-25
17,The Green Mile,Stephen King,1996,1678,1387,212,4.3365383,104,horror,2026-04-25
18,'Salem’s Lot,Stephen King,1975,1645,1367,216,4.010638,94,horror,2026-04-25
19,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875,1493,1154,275,3.9503546,141,horror,2026-04-25
20,The Stand,Stephen King,1978,1427,1184,183,4.329412,85,horror,2026-04-25
21,The Gunslinger,Stephen King,1976,1340,1121,161,4.046154,65,horror,2026-04-25
22,Flowers in the Attic,V.C. Andrews,1979,1305,1124,120,4.042857,70,horror,2026-04-25
23,The Silver Eyes (Five Nights At Freddy's #1),"Scott Cawthon, Kira Breed-Wrisley",2001,1206,1068,64,4.5753427,73,horror,2026-04-25
24,New Moon,Stephenie Meyer,2006,1164,891,197,3.9605262,76,horror,2026-04-25
25,City of Bones,Cassandra Clare,2007,1159,937,160,3.9,90,horror,2026-04-25
26,The Road,Cormac McCarthy,2006,1129,876,227,3.874214,159,horror,2026-04-25
27,Northern Lights,Philip Pullman,1995,1122,771,309,3.9506726,223,horror,2026-04-25
28,Interview With the Vampire,Anne Rice,1976,1111,906,149,3.9230769,91,horror,2026-04-25
29,The Bachman Books (Long Walk / Rage / Roadwork / Running Man),Stephen King,1985,1086,828,178,3.8666666,165,horror,2026-04-25
30,Maus I,Art Spiegelman,1986,1067,815,217,4.49359,156,horror,2026-04-25
31,House of Leaves,Mark Z. Danielewski,1998,1021,894,95,4.3333335,63,horror,2026-04-25
32,Insomnia,Stephen King,1994,990,798,146,3.878788,99,horror,2026-04-25
33,On Writing,Stephen King,1999,977,793,136,4.1375,80,horror,2026-04-25
34,A Christmas Carol,"Charles Dickens, Groth, Nancy Baker",1843,971,710,206,3.9423077,104,horror,2026-04-25
35,Breaking Dawn,Stephenie Meyer,2000,964,705,217,3.4311926,109,horror,2026-04-25
36,The Magician's Nephew,C. S. Lewis,1955,940,700,205,4.037736,106,horror,2026-04-25
37,The Long Walk,Stephen King,1979,854,745,91,3.9574468,47,horror,2026-04-25
38,Cujo,Stephen King,1981,850,695,121,3.8043478,46,horror,2026-04-25
39,The Haunting of Hill House,Shirley Jackson,1959,834,670,133,3.9594595,74,horror,2026-04-25
40,The Awakening,Lisa Jane Smith,1991,828,746,35,4.0333333,30,horror,2026-04-25
41,Cell,Stephen King,2006,809,628,148,3.644628,121,horror,2026-04-25
42,The Silence of the Lambs,Thomas Harris,1988,791,675,79,4.173913,46,horror,2026-04-25
43,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,773,628,111,4.4390244,41,horror,2026-04-25
44,Skeleton crew,Stephen King,1985,772,651,91,4.212121,33,horror,2026-04-25
45,Carmilla,Sheridan Le Fanu,1871,714,588,99,3.9322033,59,horror,2026-04-25
46,The Graveyard Book,Neil Gaiman,2008,702,509,172,4.1900826,121,horror,2026-04-25
47,Night Shift,Stephen King,1960,693,595,71,4.3846154,26,horror,2026-04-25
48,Red Dragon,Thomas Harris,1981,687,577,65,4.285714,35,horror,2026-04-25
49,The Exorcist,William Peter Blatty,1971,686,590,55,4.090909,22,horror,2026-04-25
50,Needful Things,Stephen King,1991,677,546,96,4.225806,31,horror,2026-04-25
51,The Dead Zone,Stephen King,1979,674,533,120,4.1086955,46,horror,2026-04-25
52,World War Z,Max Brooks,2006,671,458,178,3.8955224,134,horror,2026-04-25
53,Mr. Mercedes,"Stephen King, Stephen king, Ingah Mikhaʼeli",2013,662,523,103,4.12,50,horror,2026-04-25
54,Le fantôme de l'opéra,Gaston Leroux,1911,655,556,69,3.875,40,horror,2026-04-25
55,Cadáver exquisito,Agustina Bazterrica,2015,645,594,33,3.8636363,22,horror,2026-04-25
56,The Bazaar of Bad Dreams,Stephen King,2015,620,542,53,4.032258,31,horror,2026-04-25
57,Welcome to Dead House,Robert Lawrence Stine,1992,617,493,82,4.3333335,36,horror,2026-04-25
58,The Yellow Wallpaper,"Charlotte Perkins Gilman, Aric Cushing, Logan Thomas, SparkNotes, Bryan Hunt, A. J. Alexander, Steven Stern, Aileen Oracion, Twisted Classics, Anne Geer, Sara Barkat, Period Time Publishing, Félix Gerónimo, AGUSTIN LOPEZ TOBAJAS, Nicolae Sfetcu, Erminia Passannanti",1892,611,440,142,4.12987,77,horror,2026-04-25
59,Wolves of the Calla,Stephen King,2003,605,380,205,4.0572915,192,horror,2026-04-25
60,Christine,Stephen King,1983,601,463,115,4.0425534,47,horror,2026-04-25
61,The Ocean at the End of the Lane,"Neil Gaiman, Mónica Faerna, Patrick Marcel, Lluís Delgado, Oriol Hernández",2013,599,417,166,4.0877194,114,horror,2026-04-25
62,The Witching Hour,Anne Rice,1990,589,526,41,4.3461537,26,horror,2026-04-25
63,The New Girl,Robert Lawrence Stine,1989,579,487,67,4.0416665,24,horror,2026-04-25
64,"Full Dark, No Stars",Stephen King,2010,577,485,67,4.071429,42,horror,2026-04-25
65,Firestarter,Stephen King,1980,576,469,81,3.925926,27,horror,2026-04-25
66,Gerald's Game,Stephen King,1992,571,462,85,3.7575758,33,horror,2026-04-25
67,We Have Always Lived in the Castle,"Shirley Jackson, Bernadette Dunne",1962,564,447,100,4.3207545,53,horror,2026-04-25
68,Her Soul to Take,Harley Laroux,2021,555,512,14,4.5555553,9,horror,2026-04-25
69,The Locked Door,Freida McFadden,2021,555,491,29,3.5555556,18,horror,2026-04-25
70,A Torre Negra,Stephen King,1991,552,382,150,4.1764708,85,horror,2026-04-25
71,Bag of Bones,Stephen King,1998,549,425,89,3.9444444,36,horror,2026-04-25
72,The Drawing of the Three,Stephen King,1987,545,353,172,4.181818,99,horror,2026-04-25
73,Doctor Sleep,"Stephen King, José Óscar Hernández Sendin",2013,533,430,88,4.2093024,43,horror,2026-04-25
74,The Vampire Lestat,Anne Rice,1986,520,400,92,4.3777776,45,horror,2026-04-25
75,Annihilation,Jeff VanderMeer,2014,520,354,149,3.631579,95,horror,2026-04-25
76,Thinner,Stephen King,1984,520,385,107,3.5151515,33,horror,2026-04-25
77,Different Seasons,Stephen King,1982,519,446,55,4.5789475,19,horror,2026-04-25
78,The Screaming Staircase,Jonathan Stroud,2013,518,454,36,4.5238094,21,horror,2026-04-25
79,Danse Macabre,Stephen King,1980,513,396,100,3.858407,113,horror,2026-04-25
80,The Raven,Edgar Allan Poe,1845,509,388,108,4.4666667,60,horror,2026-04-25
81,Five Nights at Freddy's Character Encyclopedia (an AFK Book) (Media Tie-In),Scott Cawthon,2023,503,469,14,4.0740743,27,horror,2026-04-25
82,The Eyes of the Dragon,Stephen King,1959,502,402,76,4.32,25,horror,2026-04-25
83,Four Past Midnight,Stephen King,1990,485,389,66,3.95,20,horror,2026-04-25
84,The Butterfly Garden,Dot Hutchison,2016,481,439,15,3.5384614,13,horror,2026-04-25
85,The Island of Dr. Moreau,H. G. Wells,1896,478,376,80,3.6938775,49,horror,2026-04-25
86,The Murders in the Rue Morgue,Edgar Allan Poe,1841,477,408,39,4.2380953,21,horror,2026-04-25
87,Neverwhere,Neil Gaiman,1996,476,297,166,4.0901637,122,horror,2026-04-25
88,Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2021,476,449,16,3.3,10,horror,2026-04-25
89,The Girl Who Loved Tom Gordon,Stephen King,1999,472,378,80,3.612903,31,horror,2026-04-25
90,Gideon the Ninth,Tamsyn Muir,2019,470,367,92,4.2608695,69,horror,2026-04-25
91,Rose Madder,Stephen King,1995,470,375,73,4.172414,29,horror,2026-04-25
92,The Stepford Wives,Ira Levin,1972,465,366,83,3.6666667,30,horror,2026-04-25
93,The Subtle Knife,Philip Pullman,1997,461,281,173,4.009524,105,horror,2026-04-25
94,Something Wicked This Way Comes,Ray Bradbury,1962,458,380,61,4.09375,32,horror,2026-04-25
95,Northanger Abbey,Jane Austen,1818,448,342,86,3.878049,41,horror,2026-04-25
96,Wizard and Glass,Stephen King,1997,447,294,134,4.0945945,74,horror,2026-04-25
97,Say Cheese and Die!,Robert Lawrence Stine,1992,447,375,55,4.0,24,horror,2026-04-25
98,Hearts in Atlantis,Stephen King,1998,441,334,89,3.9117646,34,horror,2026-04-25
99,Everything's Eventual. 14 Dark Tales,Stephen King,2002,440,358,68,3.8846154,26,horror,2026-04-25
100,Scary stories to tell in the dark,Alvin Schwartz,1981,437,377,49,3.96,25,horror,2026-04-25
101,Jaws,Peter Benchley,1973,427,348,42,4.3913045,23,horror,2026-04-25
102,Suicide Med,Freida McFadden,2014,423,353,27,4.142857,14,horror,2026-04-25
103,Just After Sunset,Stephen King,2008,418,348,54,4.125,40,horror,2026-04-25
104,Lisey's Story,Stephen King,2006,404,337,45,3.7272727,22,horror,2026-04-25
105,Bunnicula,"Deborah Howe, James Howe",1979,402,340,38,4.173913,23,horror,2026-04-25
106,The Tell-Tale Heart,Edgar Allan Poe,1958,392,281,96,4.203704,54,horror,2026-04-25
107,The Turn of the Screw,Henry James,1898,390,306,70,3.65,40,horror,2026-04-25
108,Dreamcatcher,Stephen King,2001,389,296,79,3.5,36,horror,2026-04-25
109,Goosebumps - Deep Trouble,Robert Lawrence Stine,1994,379,335,21,3.0833333,12,horror,2026-04-25
110,Petals on the Wind,V.C. Andrews,1980,378,315,44,4.0,13,horror,2026-04-25
111,The Struggle,Lisa Jane Smith,1991,376,331,26,4.571429,21,horror,2026-04-25
112,The Institute,Stephen King,2019,371,320,40,3.857143,14,horror,2026-04-25
113,Stuart Little,E. B. White,1945,366,295,46,3.5,28,horror,2026-04-25
114,The Passage,Justin Cronin,2010,360,293,54,3.85,40,horror,2026-04-25
115,Goosebumps - Vanishing collection,Robert Lawrence Stine,2004,359,306,15,4.4444447,9,horror,2026-04-25
116,The Amber Spyglass,Philip Pullman,1999,359,184,170,3.8611112,108,horror,2026-04-25
117,The King in Yellow,Robert W. Chambers,1895,358,302,27,3.9375,16,horror,2026-04-25
118,Damián,Alex Mírez,2022,351,305,15,4.4210525,19,horror,2026-04-25
119,The Illustrated Man,Ray Bradbury,1951,340,276,58,4.1025643,39,horror,2026-04-25
120,Desperation,Stephen King,1996,340,274,54,4.4,15,horror,2026-04-25
121,The Queen of the Damned,Anne Rice,1988,338,260,67,3.84375,32,horror,2026-04-25
122,Heaven,V.C. Andrews,1985,337,303,20,4.2,10,horror,2026-04-25
123,Duma Key,Stephen King,2008,335,236,85,4.019608,51,horror,2026-04-25
124,Song of Susannah,Stephen King,1999,334,214,106,4.237288,59,horror,2026-04-25
125,Satan's Affair,H. D. Carlton,2021,334,300,12,3.3333333,9,horror,2026-04-25
126,The Legend of Sleepy Hollow,Washington Irving,1820,333,271,50,4.125,24,horror,2026-04-25
127,The Tommyknockers,Stephen King,1985,330,253,64,4.1666665,18,horror,2026-04-25
128,I'm Thinking of Ending Things,Iain Reid,2016,322,283,25,3.4,10,horror,2026-04-25
129,The Running Man,Stephen King,1982,318,235,72,3.7027028,37,horror,2026-04-25
130,Storm of the Century,Stephen King,1999,316,268,30,3.9230769,13,horror,2026-04-25
131,Mexican Gothic,Silvia Moreno-Garcia,2020,314,276,31,4.1904764,21,horror,2026-04-25
132,The Sleepwalker,Robert Lawrence Stine,1990,313,249,51,3.8888888,9,horror,2026-04-25
133,Small Gods,"Terry Pratchett, Ray Friesen",1992,312,191,115,4.236111,72,horror,2026-04-25
134,Novels (Black House / Talisman),"Stephen King, Peter Straub",2002,308,229,66,4.075,40,horror,2026-04-25
135,Semilla del Diablo,Ira Levin,1900,307,255,44,4.0,22,horror,2026-04-25
136,Fear Street - Sunburn,Robert Lawrence Stine,1993,303,240,56,3.857143,14,horror,2026-04-25
137,Fear Street - The Overnight,Robert Lawrence Stine,1989,298,252,40,2.8888888,9,horror,2026-04-25
138,The Amityville Horror,Jay Anson,1977,297,248,37,2.95,20,horror,2026-04-25
139,Coraline,"P. Craig Russell, Neil Gaiman",2008,297,274,13,4.181818,11,horror,2026-04-25
140,Bones & All,Camille DeAngelis,2015,296,278,3,5.0,1,horror,2026-04-25
141,Dolores Claiborne,Stephen King,1992,295,216,73,3.392857,28,horror,2026-04-25
142,Haunted,Robert Lawrence Stine,1990,291,248,36,3.857143,7,horror,2026-04-25
143,Intensity,Dean Koontz,1985,286,230,44,3.5652175,23,horror,2026-04-25
144,The Prom Queen,Robert Lawrence Stine,1992,285,244,36,4.3333335,9,horror,2026-04-25
145,Monster Blood,Robert Lawrence Stine,1992,285,240,31,3.5,10,horror,2026-04-25
146,The Stepsister,Robert Lawrence Stine,1990,285,234,42,4.230769,13,horror,2026-04-25
147,A Certain Hunger,Chelsea G. Summers,2020,281,263,10,3.5,6,horror,2026-04-25
148,Nightmares & Dreamscapes,Stephen King,1993,281,214,61,3.8888888,18,horror,2026-04-25
149,Lights Out,Robert Lawrence Stine,1991,281,226,47,4.0555553,18,horror,2026-04-25
150,The Power of Darkness,Edith Nesbit,2006,276,234,8,2.25,8,horror,2026-04-25


1,Diary of a Wimpy Kid,Jeff Kinney,2007,7309,6159,570,4.1282053,429,humor,2026-04-25
2,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,6428,5084,904,4.1858406,452,humor,2026-04-25
3,"Red, White & Royal Blue",Casey McQuiston,2019,4617,4290,191,4.1555557,180,humor,2026-04-25
4,Charlotte's Web,E. B. White,1952,4176,3310,539,4.0317073,410,humor,2026-04-25
5,Matilda,Roald Dahl,1988,3037,2472,351,4.362264,265,humor,2026-04-25
6,Charlie and the Chocolate Factory,Roald Dahl,1964,2853,2273,387,4.02974,269,humor,2026-04-25
7,Dog Days,Jeff Kinney,2007,2424,2024,231,4.4779873,159,humor,2026-04-25
8,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,2397,1901,384,4.5416665,168,humor,2026-04-25
9,Alice's Adventures in Wonderland,Lewis Carroll,1865,2166,1706,330,4.063927,219,humor,2026-04-25
10,Dog Man,Dav Pilkey,2015,2135,1835,120,4.42963,135,humor,2026-04-25
11,The BFG,Roald Dahl,1980,1586,1281,204,4.094203,138,humor,2026-04-25
12,Cabin Fever,Jeff Kinney,2007,1541,1242,186,4.511278,133,humor,2026-04-25
13,Rodrick Rules,Jeff Kinney,2007,1538,1217,210,4.4144735,152,humor,2026-04-25
14,Double Down,Jeff Kinney,2007,1537,1308,133,4.491071,112,humor,2026-04-25
15,Adventures of Huckleberry Finn,Mark Twain,1876,1499,1069,355,3.9586778,242,humor,2026-04-25
16,James and the Giant Peach,Roald Dahl,1961,1488,1176,205,3.9318182,132,humor,2026-04-25
17,The Cat in the Hat,"Dr. Seuss, Simon Mugford",1957,1471,1179,208,4.1320753,106,humor,2026-04-25
18,The Long Haul,Jeff Kinney,2014,1456,1198,159,4.3166666,120,humor,2026-04-25
19,Guess How Much I Love You,"Sam McBratney, Anita Jeram",1994,1436,1152,197,4.337209,86,humor,2026-04-25
20,Wrecking Ball,Jeff Kinney,2019,1364,1233,65,4.0,66,humor,2026-04-25
21,Freakonomics,"Steven D. Levitt, Stephen J. Dubner, Andrea Montero Cusset",2005,1361,1070,220,3.8700564,177,humor,2026-04-25
22,In Cold Blood,Truman Capote,1965,1324,1127,139,4.042105,95,humor,2026-04-25
23,Good Omens,"Neil Gaiman, Terry Pratchett",1990,1276,1038,164,4.448276,87,humor,2026-04-25
24,The Adventures of Tom Sawyer,Mark Twain,1817,1248,913,259,3.9671052,152,humor,2026-04-25
25,The A.B.C. Murders,Agatha Christie,1936,1233,1060,117,4.0677967,59,humor,2026-04-25
26,Diary of a Wimpy Kid,Jeff Kinney,2009,1230,1119,64,4.517857,56,humor,2026-04-25
27,A short history of nearly everything,Bill Bryson,2003,1230,1036,140,4.158416,101,humor,2026-04-25
28,Emma,Jane Austen,1815,1228,1026,131,3.9491525,59,humor,2026-04-25
29,Green Eggs and Ham,Dr. Seuss,1960,1202,927,230,4.0704226,142,humor,2026-04-25
30,As Good As Dead,Holly Jackson,2021,1195,1055,73,4.4545455,33,humor,2026-04-25
31,The Hating Game,Sally Thorne,2016,1129,1025,51,3.6666667,27,humor,2026-04-25
32,Sense and Sensibility,Jane Austen,1811,1098,913,114,3.8913043,46,humor,2026-04-25
33,Diary of a Wimpy Kid,Jeff Kinney,2017,1082,944,83,4.6567163,67,humor,2026-04-25
34,Old School,Jeff Kinney,2007,1077,882,126,4.5051546,97,humor,2026-04-25
35,House of Hades,Rick Riordan,2013,1065,754,246,4.293103,116,humor,2026-04-25
36,The Witches,Roald Dahl,1983,1062,829,167,4.1666665,90,humor,2026-04-25
37,Hard Luck,Jeff Kinney,2013,999,817,123,4.1294117,85,humor,2026-04-25
38,A Christmas Carol,"Charles Dickens, Groth, Nancy Baker",1843,971,710,206,3.9423077,104,humor,2026-04-25
39,The Bad Beginning,Lemony Snicket,1999,969,766,152,4.2045455,88,humor,2026-04-25
40,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,964,745,180,4.3444443,90,humor,2026-04-25
41,The Deal,Elle Kennedy,2015,964,835,66,4.28,25,humor,2026-04-25
42,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,952,735,179,4.02,100,humor,2026-04-25
43,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1600,929,792,82,3.8947368,57,humor,2026-04-25
44,The Ugly Truth,Jeff Kinney,2010,923,735,136,4.2380953,84,humor,2026-04-25
45,The Colour of Magic,Terry Pratchett,1983,921,625,254,3.9865773,149,humor,2026-04-25
46,Gulliver's Travels,Jonathan Swift,1726,920,738,139,3.6136363,88,humor,2026-04-25
47,Born a Crime,Trevor Noah,2016,914,777,84,4.5666666,60,humor,2026-04-25
48,The Last Straw,Jeff Kinney,1995,880,668,154,4.130435,69,humor,2026-04-25
49,Tales from a Not-so-talented Pop Star (Dork Diaries #3),Rachel Renée Russell,2008,875,738,74,4.266667,60,humor,2026-04-25
50,Dog Man,Dav Pilkey,1999,872,758,61,4.5842695,89,humor,2026-04-25
51,The Third Wheel,Jeff Kinney,2003,866,698,113,4.0972223,72,humor,2026-04-25
52,En man som heter Ove,Fredrik Backman,2012,833,702,96,4.2753625,69,humor,2026-04-25
53,Flatland,Edwin Abbott Abbott,1884,809,631,149,3.9081633,98,humor,2026-04-25
54,The Adventures of Captain Underpants,Dav Pilkey,1997,797,669,77,4.2686567,67,humor,2026-04-25
55,Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,747,567,141,4.1595745,94,humor,2026-04-25
56,The Twits,Roald Dahl,1967,735,606,96,3.9454546,55,humor,2026-04-25
57,The Wind in the Willows,Kenneth Grahame,1908,707,561,93,4.0740743,54,humor,2026-04-25
58,World War Z,Max Brooks,2006,671,458,178,3.8955224,134,humor,2026-04-25
59,Dork Diaries,Rachel Renée Russell,2009,650,563,45,4.2,45,humor,2026-04-25
60,Snow Crash,Neal Stephenson,1992,637,373,240,4.068421,190,humor,2026-04-25
61,Dork Diaries 7,Rachel Renée Russell,2014,631,514,80,4.3835616,73,humor,2026-04-25
62,Through the Looking-Glass,Lewis Carroll,1865,606,487,90,4.053571,56,humor,2026-04-25
63,Winnie-the-Pooh,A. A. Milne,1925,602,468,104,4.213333,75,humor,2026-04-25
64,Fox in Socks,Dr. Seuss,1965,594,487,85,4.0,29,humor,2026-04-25
65,George's Marvelous Medicine,Roald Dahl,1981,577,455,72,3.632653,49,humor,2026-04-25
66,Candide,Voltaire,1746,566,403,141,3.9756098,82,humor,2026-04-25
67,The Authoritative Calvin and Hobbes,Bill Watterson,1988,566,458,69,4.178571,56,humor,2026-04-25
68,Cat's Cradle,Kurt Vonnegut,1963,565,383,161,3.961165,103,humor,2026-04-25
69,La Divina Commedia,Dante Alighieri,1472,561,482,51,3.892857,28,humor,2026-04-25
70,Uno siempre cambia al amor de su vida,Amalia Andrade Arango,2013,553,503,18,4.1923075,26,humor,2026-04-25
71,Dog Man and Cat Kid,"Dav Pilkey, George Beard, Harold Hutchins, Jose Garibaldi",2017,552,482,32,4.1578946,38,humor,2026-04-25
72,Dog Man Unleashed,Dav Pilkey,2016,551,478,32,4.034483,29,humor,2026-04-25
73,Tales from a Not-So Friendly Frenemy,Rachel Renée Russell,2009,547,497,24,4.181818,44,humor,2026-04-25
74,The Merchant of Venice,William Shakespeare,1600,519,395,100,4.0363636,55,humor,2026-04-25
75,Dork Diaries 15,Rachel Renée Russell,2010,512,469,14,4.6153846,26,humor,2026-04-25
76,"Il mio nome è Stilton, Geronimo Stilton",Elisabetta Dami,1999,509,427,43,4.0869565,23,humor,2026-04-25
77,The Giving Tree,Shel Silverstein,1964,508,336,161,4.158416,101,humor,2026-04-25
78,Dog Man,"Dav Pilkey, Jose Garibaldi",2021,508,458,23,4.6842103,38,humor,2026-04-25
79,Crazy Rich Asians,Kevin Kwan,2013,507,435,48,4.1282053,39,humor,2026-04-25
80,"""Surely You're Joking, Mr. Feynman""","Richard Phillips Feynman, Ralph Leighton",1984,502,353,130,4.205357,112,humor,2026-04-25
81,Charlie and the Great Glass Elevator,Roald Dahl,1972,493,370,97,3.528302,53,humor,2026-04-25
82,Mort,Terry Pratchett,1987,486,264,209,4.2204723,127,humor,2026-04-25
83,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,481,359,106,3.8983052,59,humor,2026-04-25
84,"No, David!","David Shannon, Teresa Mlawer",1998,479,415,40,3.9,20,humor,2026-04-25
85,Le avventure di Pinocchio,Carlo Collodi,1883,466,395,45,3.8181818,22,humor,2026-04-25
86,How to train your dragon,Cressida Cowell,2003,457,398,33,4.137931,29,humor,2026-04-25
87,The Importance of Being Earnest,Oscar Wilde,1893,452,346,98,4.126984,63,humor,2026-04-25
88,Tales of a Fourth Grade Nothing,Judy Blume,1972,448,395,32,4.185185,27,humor,2026-04-25
89,Big Nate Blasts Off!,Lincoln Peirce,2016,441,380,27,4.419355,31,humor,2026-04-25
90,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,440,374,56,4.0384617,26,humor,2026-04-25
91,Guards! Guards!,Terry Pratchett,1989,440,234,187,4.350427,117,humor,2026-04-25
92,Where the Sidewalk Ends,Shel Silverstein,1974,431,275,135,4.0869565,92,humor,2026-04-25
93,A Confederacy of Dunces,John Kennedy Toole,1980,421,275,128,3.7529411,85,humor,2026-04-25
94,Dog Man,Dav Pilkey,2016,418,381,23,4.0625,32,humor,2026-04-25
95,"Danny, The Champion of the World",Roald Dahl,1975,406,318,54,4.2222223,36,humor,2026-04-25
96,The Restaurant at the End of the Universe,Douglas Adams,1980,404,262,123,4.25641,39,humor,2026-04-25
97,Pippi Långstrump,Astrid Lindgren,1945,402,332,57,3.6,25,humor,2026-04-25
98,Bunnicula,"Deborah Howe, James Howe",1979,402,340,38,4.173913,23,humor,2026-04-25
99,Big Nate in the Zone,Lincoln Peirce,2007,399,357,19,4.3333335,21,humor,2026-04-25
100,Bridget Jones's Diary,"Helen Fielding, Helen Fielding",1996,396,301,79,3.5849056,53,humor,2026-04-25
101,Superfudge,Judy Blume,1972,393,353,19,4.4166665,12,humor,2026-04-25
102,Pete the Cat,"Eric Litwin, James Dean",2008,393,349,28,3.55,20,humor,2026-04-25
103,How the Grinch Stole Christmas!,"Dr. Seuss, Rik Mayall",1957,380,261,102,4.1153846,52,humor,2026-04-25
104,Noli Me Tangere,José Rizal,1902,377,342,10,4.4,10,humor,2026-04-25
105,The Unhoneymooners,Christina Lauren,1934,375,350,14,4.0,6,humor,2026-04-25
106,The house in the Cerulean Sea,T. J. Klune,2019,373,329,35,4.4,15,humor,2026-04-25
107,"E Natale, Stilton! (#12)","Elisabetta Dami, Manuel Manzano, David Nel·lo",2002,371,299,40,4.2083335,24,humor,2026-04-25
108,A bad case of stripes,"David Shannon, David Shannon",1998,371,312,47,4.44,25,humor,2026-04-25
109,Infinite Jest,David Foster Wallace,1996,365,310,39,4.214286,28,humor,2026-04-25
110,"Life, the Universe and Everything",Douglas Adams,1900,363,149,204,4.1596637,119,humor,2026-04-25
111,Room on the Broom,Julia Donaldson,2001,362,287,54,4.5333333,15,humor,2026-04-25
112,Understanding Comics,Scott McCloud,1993,360,313,35,4.1923075,26,humor,2026-04-25
113,Dork Diaries Drama Queen,Rachel Renée Russell,2009,357,285,48,4.324324,37,humor,2026-04-25
114,The Light Fantastic,"Terry Pratchett, Ernest Riera",1986,357,170,173,4.0306125,98,humor,2026-04-25
115,New Kid,Jerry Craft,2019,353,322,16,3.75,16,humor,2026-04-25
116,Runaway Ralph,Beverly Cleary,1970,353,247,83,4.2987013,77,humor,2026-04-25
117,One for the Money,Janet Evanovich,1994,353,272,62,4.0,24,humor,2026-04-25
118,Dog Man,"Dav Pilkey, George Beard, Harold Hutchins, Jose Garibaldi",2014,352,305,22,4.0454545,22,humor,2026-04-25
119,The Cheat Sheet,"Sarah Adams, Renee Dorian",2021,345,317,13,2.7,10,humor,2026-04-25
120,Dog Man,Dav Pilkey,2002,345,305,21,4.392857,28,humor,2026-04-25
