rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
99,The Firm,John Grisham,1991,439,346,65,4.0,21,mystery,2026-04-25
100,Scary stories to tell in the dark,Alvin Schwartz,1981,437,377,49,3.96,25,mystery,2026-04-25
101,The Secret Agent,Joseph Conrad,1907,429,358,36,4.142857,28,mystery,2026-04-25
102,Suicide Med,Freida McFadden,2014,423,353,27,4.142857,14,mystery,2026-04-25
103,Monday's Not Coming,Tiffany D. Jackson,2018,419,385,14,4.5555553,9,mystery,2026-04-25
104,The Boxcar Children,Gertrude Chandler Warner,1924,414,321,68,4.205128,39,mystery,2026-04-25
105,The Rainmaker,John Grisham,1995,411,317,66,3.8275862,29,mystery,2026-04-25
106,The Virgin Suicides (Bloomsbury Classic),"Jeffrey Eugenides, Nick Landrum",1993,404,344,45,3.8125,32,mystery,2026-04-25
107,Storm Front,Jim Butcher,2000,404,239,157,3.6237624,101,mystery,2026-04-25
108,Bunnicula,"Deborah Howe, James Howe",1979,402,340,38,4.173913,23,mystery,2026-04-25
109,Flashback,Shannon Messenger,2012,400,351,33,4.5238094,21,mystery,2026-04-25
110,The Moonstone,Wilkie Collins,1800,398,336,40,4.090909,22,mystery,2026-04-25
111,The Woman in White,"Wilkie Collins, William Collins",1859,395,335,34,4.05,20,mystery,2026-04-25
112,"The Case of the Missing Marquess (Enola Holmes, #1)",Nancy Springer,2006,394,333,34,4.5,14,mystery,2026-04-25
113,The Secret Adversary,Agatha Christie,1922,394,299,73,3.7878788,33,mystery,2026-04-25
114,A Time to Kill,John Grisham,1989,393,330,46,3.76,25,mystery,2026-04-25
115,The Tell-Tale Heart,Edgar Allan Poe,1958,392,281,96,4.203704,54,mystery,2026-04-25
116,The Spy Who Came in from the Cold,John le Carré,1602,391,291,78,4.1555557,45,mystery,2026-04-25
117,The Inmate,Freida McFadden,2022,390,351,28,4.6666665,3,mystery,2026-04-25
118,The Hidden Staircase,Carolyn Keene,1930,387,304,50,3.7083333,24,mystery,2026-04-25
119,The Body in the Library,Agatha Christie,1942,385,300,63,3.85,20,mystery,2026-04-25
120,Poirot investigates,Agatha Christie,1924,382,296,64,4.3333335,18,mystery,2026-04-25
121,The Thursday Murder Club,Richard Osman,2020,378,331,36,3.764706,17,mystery,2026-04-25
122,Petals on the Wind,V.C. Andrews,1980,378,315,44,4.0,13,mystery,2026-04-25
123,The Struggle,Lisa Jane Smith,1991,376,331,26,4.571429,21,mystery,2026-04-25
124,The Institute,Stephen King,2019,371,320,40,3.857143,14,mystery,2026-04-25
125,Persuader,Lee Child,2003,370,318,42,3.5833333,12,mystery,2026-04-25
126,Murder in Three Acts,Agatha Christie,1934,369,303,53,3.6666667,12,mystery,2026-04-25
127,The Passage,Justin Cronin,2010,360,293,54,3.85,40,mystery,2026-04-25
128,V for Vendetta,"Alan Moore, David Lloyd",1988,360,217,135,4.2291665,96,mystery,2026-04-25
129,Everything I never told you,Celeste Ng,2014,355,291,51,3.902439,41,mystery,2026-04-25
130,One for the Money,Janet Evanovich,1994,353,272,62,4.0,24,mystery,2026-04-25
